rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/episodes,time/fps,train/actor_loss,time/total_timesteps
-117.76590575000002,7.6844611167907715,18,1660,0.001,440.25,4,97,-5.219016075134277,1761
-61.93219,0.27415430545806885,39,3660,0.001,470.125,8,94,-8.285520553588867,3761
-103.76683291666666,5.342282772064209,62,5660,0.001,480.0833333333333,12,92,-9.340716361999512,5761
-105.9033820625,2.847078323364258,84,7660,0.001,485.0625,16,91,-7.872762680053711,7761
-118.34750939999999,2.6520962715148926,106,9660,0.001,488.05,20,91,-6.102380275726318,9761
-139.15595829166668,1.960005283355713,128,11660,0.001,490.0416666666667,24,91,-4.805419921875,11761
-149.5315433214286,2.5355098247528076,150,13660,0.001,491.4642857142857,28,91,-1.6879022121429443,13761
