rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,train/n_updates,rollout/ep_len_mean,time/episodes,train/learning_rate,time/fps,train/actor_loss,time/total_timesteps
-186.131007,0.8975374102592468,15,1441,385.5,4,0.001,98,1.6883726119995117,1542
-95.86868,3.974551200866699,37,3441,442.75,8,0.001,94,1.6717004776000977,3542
-65.92382433333334,0.8530583381652832,58,5441,461.8333333333333,12,0.001,94,2.3948116302490234,5542
-113.217917125,4.138107776641846,80,7441,471.375,16,0.001,93,-3.533008337020874,7542
-117.97190945,5.249123573303223,101,9441,477.1,20,0.001,93,-6.491749286651611,9542
-109.54805970833333,4.131648063659668,123,11441,480.9166666666667,24,0.001,93,-12.193340301513672,11542
-144.46766674999998,4.829315185546875,145,13441,483.64285714285717,28,0.001,93,-16.669273376464844,13542
