episode,total_return
1,109.65
2,-118.632
3,-325.053
4,-293.628
5,-477.56
6,-75.74300000000001
7,-22.704999999999995
8,-659.548
9,-4.838000000000011
10,-356.938
11,-181.204
12,-307.96500000000003
13,-330.438
14,-15.948000000000002
15,-118.01
16,-144.95
17,-207.484
18,-125.06299999999999
19,-581.154
20,-28.502999999999997
21,-431.04900000000004
22,-620.034
23,-94.18299999999999
24,-381.306
25,-552.942
26,-215.325
27,-94.11800000000001
28,-323.458
29,-1356.432
30,-324.99100000000004
31,-787.4110000000001
32,-274.41499999999996
33,-1155.449
34,-930.758
35,-110.26700000000001
36,-813.629
37,-339.447
38,-450.996
39,-733.143
40,-760.33
41,-762.246
42,-705.2860000000001
43,-176.411
44,-427.42400000000004
45,-739.136
46,-501.872
47,-597.805
48,-602.573
49,-574.229
50,-247.76700000000002
51,-313.091
52,-360.038
53,-366.644
54,-150.64200000000002
55,-459.264
56,-488.108
57,-355.065
58,-221.03000000000003
59,-162.464
60,-474.31
61,-250.31
62,-314.95000000000005
63,-271.803
64,-344.152
65,-603.332
66,-405.608
67,-744.672
68,-287.40700000000004
69,-448.118
70,6.999999999999999
71,-265.339
72,-622.091
73,-6.870000000000014
74,-342.179
75,-113.41100000000002
76,-191.845
77,-251.23
78,-152.122
79,-156.856
80,-165.488
81,-279.938
82,-471.553
83,-275.374
84,-208.394
85,-376.64
86,-397.733
87,-167.809
88,-462.632
89,-354.092
90,-349.23
91,-251.967
92,-485.122
93,-596.098
94,-362.135
95,-49.27200000000001
96,-159.61599999999999
97,-273.398
98,-112.08900000000001
99,-288.971
100,-41.388000000000005
101,-65.363
102,-299.03700000000003
103,-483.90999999999997
104,-200.92600000000002
105,-224.482
106,-213.03300000000002
107,-349.334
108,-493.013
109,-117.553
110,-141.76600000000002
111,-71.35500000000002
112,-326.324
113,-407.48499999999996
114,-404.944
115,-281.136
116,-64.36200000000001
117,29.161000000000016
118,-246.19700000000003
119,-243.71699999999998
120,-136.815
121,-338.636
122,-50.71200000000001
123,-349.19399999999996
124,-362.858
125,-459.86400000000003
126,-295.09499999999997
127,-196.751
128,-859.193
129,-56.25500000000001
130,-66.609
131,-381.265
132,-303.33799999999997
133,-74.997
134,-348.304
135,-138.766
136,-281.72999999999996
137,-125.855
138,-239.129
139,77.731
140,-146.861
141,-195.088
142,-124.06400000000001
143,-35.67
144,-146.41299999999998
145,-243.75900000000001
146,-303.932
147,-80.58500000000001
148,-414.836
149,-72.576
150,-393.427
151,-190.834
152,-215.21
153,-328.922
154,-125.46300000000001
155,-189.863
156,7.154000000000003
157,-255.59300000000002
158,-106.557
159,100.867
160,-386.337
161,-152.43900000000002
162,-161.374
163,-119.97699999999999
164,-683.727
165,-64.66
166,-222.508
167,-162.836
168,-123.729
169,-183.47
170,-18.514
171,-57.579
