episode,total_return
1,4.639999999999986
2,-314.817
3,-19.110999999999997
4,-143.697
5,-188.45999999999998
6,-968.223
7,-144.232
8,-6.485999999999986
9,-618.74
10,-622.6210000000001
11,-847.1659999999999
12,-854.0659999999999
13,-501.28499999999997
14,-275.829
15,-338.245
16,-657.466
17,-192.681
18,-177.225
19,-287.626
20,-211.264
21,-128.69299999999998
22,-266.669
23,-1123.428
24,-556.564
25,-527.534
26,-959.241
27,-670.993
28,-862.708
29,-409.563
30,-357.87399999999997
31,-1002.807
32,-34.546000000000014
33,-714.689
34,-641.062
35,-572.2189999999999
36,-229.50300000000001
37,-181.549
38,-163.10399999999998
39,-309.983
40,-281.456
41,-923.984
42,-280.795
43,-495.733
44,-402.422
45,-805.019
46,-727.138
47,-1109.114
48,-953.369
49,-946.08
50,-203.469
51,-1070.796
52,-788.309
53,-839.038
54,-641.212
55,-598.694
56,-658.583
57,-209.08800000000002
58,-569.627
59,-1364.244
60,-1462.7440000000001
61,-1233.143
62,-1306.884
63,-1002.445
64,-379.759
65,-707.019
66,-358.635
67,-888.063
68,-936.844
69,-683.72
70,-823.472
71,-277.50100000000003
72,-1170.939
73,-806.513
74,-1378.385
75,-780.523
76,-882.134
77,-961.033
78,-1009.054
79,-1013.646
80,-815.249
81,-1477.299
82,-651.298
83,-839.969
84,-1049.819
85,-1296.374
86,-867.402
87,-682.41
88,-1281.487
89,-770.685
90,-1219.068
91,-608.872
92,-746.545
93,-1546.781
94,-814.584
95,-989.473
96,-1048.392
97,-820.9159999999999
98,-1089.836
99,-778.164
100,-582.065
101,-791.245
102,-1172.5520000000001
103,-582.378
104,-464.557
105,-1050.69
106,-1232.087
107,-789.757
108,-1217.993
109,-1015.263
110,-1068.063
111,-512.876
112,-630.002
113,-638.783
114,-960.3340000000001
115,-1280.718
116,-1158.556
117,-1509.366
118,-408.622
119,-1148.535
120,-951.797
121,-995.914
122,-1327.608
123,-788.3820000000001
124,-1059.042
125,-933.861
126,-1141.419
127,-423.585
128,-1265.484
129,-1151.676
130,-984.284
131,-918.605
132,-863.4879999999999
133,-675.893
134,-1135.229
135,-715.927
136,-825.2420000000001
137,-711.39
138,-1295.749
139,-989.7869999999999
140,-1149.7
141,-953.614
142,-899.004
143,-873.431
144,-803.8779999999999
145,-1043.876
146,-546.5310000000001
147,-573.179
148,-995.793
149,-874.145
150,-324.66
151,-957.37
152,-909.798
153,-765.716
154,-778.984
155,-867.525
156,-1031.359
157,-1089.188
158,-1047.156
159,-677.788
160,-648.956
161,-549.442
162,-776.721
163,-1081.878
164,-1146.071
165,-603.379
166,-738.517
167,-1014.38
168,-956.759
169,-426.738
170,-1072.213
171,-1141.472
172,-997.37
173,-659.932
174,-928.575
175,-1071.525
176,-527.155
177,-796.312
178,-758.4689999999999
179,-895.786
180,-1115.276
181,-511.982
