episode,total_return
1,4.639999999999986
2,-219.508
3,-121.268
4,-37.263999999999996
5,121.90199999999999
6,-283.065
7,-197.977
8,-167.217
9,-282.382
10,-285.788
11,-1001.113
12,-529.2189999999999
13,-215.56
14,-603.352
15,-1327.724
16,-987.752
17,-468.843
18,-275.15400000000005
19,-1319.212
20,-971.873
21,-732.99
22,-725.1
23,-662.406
24,-1206.354
25,-565.807
26,18.002999999999986
27,-161.52800000000002
28,-377.672
29,225.68099999999998
30,-870.278
31,-720.926
32,-653.258
33,-747.5
34,-474.164
35,-660.629
36,-857.749
37,-206.40200000000002
38,-1015.275
39,-473.58000000000004
40,-1169.334
41,-376.14300000000003
42,-758.707
43,-682.683
44,-445.898
45,-63.40200000000003
46,-887.083
47,-316.701
48,-429.69300000000004
49,-699.358
50,-486.747
51,-859.316
52,-1157.267
53,-1523.56
54,-870.6800000000001
55,-787.745
56,-14.918000000000003
57,-758.851
58,-941.673
59,-752.057
60,-633.461
61,-860.7040000000001
62,-151.25
63,-705.117
64,-342.219
65,-1364.839
66,-767.103
67,-691.184
68,-896.882
69,-1022.704
70,-957.643
71,-343.73400000000004
72,-1019.787
73,-520.672
74,-457.66200000000003
75,-922.512
76,-834.119
77,-737.926
78,-585.053
79,-1162.489
80,-241.161
81,-1349.728
82,-348.90000000000003
83,-447.86600000000004
84,-1514.038
85,-554.836
86,-811.204
87,-1048.065
88,-434.053
89,-507.588
90,-923.776
91,10.749999999999988
92,-1443.986
93,-950.971
94,185.049
95,-595.5649999999999
96,-1086.635
97,-155.966
98,-494.741
99,-766.116
100,-745.372
101,-429.025
102,-32.79900000000002
103,-155.903
104,-345.89300000000003
105,-993.103
106,-885.5070000000001
107,-742.542
108,-1416.584
109,-360.45
110,-340.344
111,-731.039
112,-452.63
113,-216.511
114,-507.869
115,-270.465
116,-512.817
117,-1219.165
118,416.382
119,-1069.724
120,-726.948
121,-561.884
122,-641.538
123,-838.037
124,-508.794
125,-846.753
126,-348.376
127,-574.519
128,-358.13100000000003
129,-823.285
130,-635.525
131,-637.365
132,-840.216
133,-708.11
134,-1041.605
135,-1135.653
136,-690.5120000000001
137,153.584
138,-365.2
139,-228.562
140,-541.913
141,-34.54800000000001
142,-773.999
143,-853.651
144,-663.283
145,-160.997
146,-1001.305
147,-841.0939999999999
148,-766.348
149,-1110.161
150,-936.1850000000001
151,-410.135
152,-201.34400000000002
153,-472.981
154,-512.919
