episode,total_return
310,-198.967
311,-1143.507
312,-118.33400000000002
313,-245.69000000000003
314,-24.415999999999997
315,-49.21300000000001
316,-63.70600000000001
317,-64.49900000000001
318,-539.323
319,-79.553
320,113.91999999999999
321,-33.24500000000001
322,-273.943
323,-84.811
324,-360.656
325,-84.986
326,-121.38799999999998
327,-133.318
328,-12.870000000000006
329,-153.844
330,-388.167
331,-196.686
332,-26.630999999999993
333,-228.982
334,39.49199999999999
335,-63.14799999999999
336,-73.926
337,-244.02
338,-64.375
339,-145.61100000000002
340,-149.72
341,-381.765
342,-214.55200000000002
343,144.08100000000002
344,-81.59800000000001
345,-290.69000000000005
346,-101.202
347,-134.457
348,-204.747
349,-115.602
350,-381.147
351,-82.502
352,-145.079
353,-281.593
354,-188.537
355,-304.20799999999997
356,-153.95
357,-78.26299999999999
358,-502.396
359,-569.774
360,-441.38100000000003
361,-160.133
362,-107.22100000000002
363,-266.57
364,-39.83699999999999
365,-1057.573
366,-763.845
367,-218.399
368,-61.80600000000001
369,-18.174000000000003
370,-140.164
371,-61.629999999999995
372,-103.473
373,-160.20100000000002
374,-98.00999999999999
375,-49.84199999999999
376,-112.37800000000001
377,-71.50099999999999
378,-255.002
379,51.076
380,-218.55800000000002
381,-104.96400000000001
382,-119.349
383,-236.07700000000003
384,-117.427
385,-530.421
386,-292.752
387,-468.132
388,-226.06300000000002
389,-114.02799999999999
390,-411.34099999999995
391,-35.86900000000001
392,-209.52299999999997
393,-62.11299999999999
394,-413.79699999999997
395,-139.17600000000002
396,-87.22000000000001
397,-159.80800000000002
398,-84.168
399,-161.05700000000002
400,-286.14799999999997
401,-115.291
402,-63.495
403,-250.34400000000002
404,-77.31099999999998
405,-90.01400000000002
406,-319.54900000000004
407,-225.56900000000002
408,-104.78000000000002
409,-135.60000000000002
410,-309.955
411,-114.50599999999999
412,-165.09799999999998
413,-129.929
414,-8.826000000000011
415,-186.828
416,-153.856
417,-166.691
418,-44.295999999999985
419,34.87599999999998
