episode,total_return
1,-273.911
2,-3.2529999999999997
3,-12.421000000000001
4,-87.206
5,-112.05300000000003
6,-287.53700000000003
7,-363.42699999999996
8,-174.36199999999997
9,-504.174
10,-309.072
11,-803.478
12,-534.106
13,-883.384
14,-417.029
15,-414.688
16,-746.442
17,-324.608
18,-338.261
19,-708.6279999999999
20,-1259.141
21,-1274.324
22,-312.317
23,-513.877
24,-1182.057
25,-892.433
26,-1326.329
27,-296.566
28,-997.732
29,-378.557
30,-198.60500000000002
31,-296.253
32,-416.95300000000003
33,-289.41700000000003
34,-332.20099999999996
35,-108.462
36,-808.322
37,-341.163
38,-429.441
39,-108.66600000000001
40,-123.37
41,-220.57200000000003
42,-325.484
43,-280.692
44,-324.455
45,-310.76
46,-333.889
47,-259.498
48,-324.214
49,-300.45099999999996
50,-258.83099999999996
51,-154.32399999999998
52,-384.951
53,-489.64500000000004
54,-178.72
55,-250.832
56,-526.2139999999999
57,-515.372
58,-705.0899999999999
59,-249.063
60,-168.37300000000002
61,-347.517
62,-198.485
63,-274.135
64,-174.94199999999998
65,-586.639
66,-408.64300000000003
67,-439.346
68,-380.196
69,-279.145
70,-619.3910000000001
71,-469.81399999999996
72,-370.18199999999996
73,-333.458
74,-434.335
75,-363.94
76,-631.21
77,-324.806
78,-214.097
79,-241.523
80,-259.056
81,-199.785
82,-304.199
83,-535.965
84,-359.594
85,-636.812
86,-295.291
87,-186.821
88,-399.781
89,-270.132
90,-280.211
91,-404.21500000000003
92,-294.19100000000003
93,-189.91299999999998
94,-340.11199999999997
95,-410.315
96,-304.54900000000004
97,-219.478
98,-366.191
99,-174.968
100,-138.81799999999998
101,-296.899
102,-274.189
103,-250.115
104,-210.904
105,-228.862
106,-334.49199999999996
107,-228.908
108,-189.10399999999998
109,-636.279
110,-354.553
111,-243.794
112,-225.873
113,-227.97400000000002
114,-349.31
115,-269.528
116,-279.637
117,-340.048
118,-228.98499999999999
119,-471.072
120,-279.82
121,-451.47
122,-385.385
123,-229.047
124,-301.852
125,-409.48900000000003
126,-375.581
127,-228.736
128,-213.84000000000003
129,-607.648
130,-131.004
131,-304.211
132,-425.072
133,-281.082
134,-295.439
135,-229.242
136,-339.44800000000004
137,-138.754
138,-229.531
139,-224.571
140,-219.895
141,-309.879
142,-143.398
143,-264.592
144,-414.45399999999995
145,-205.867
146,-250.24
147,-349.3
148,-184.044
149,-204.38
150,-385.34
151,-435.923
152,-248.935
153,-79.275
154,-279.262
155,-273.9
156,-139.644
157,-229.02300000000002
158,-109.39200000000001
159,-219.736
160,-333.886
161,-250.069
162,-199.30599999999998
163,-243.89200000000002
164,-258.951
165,-138.701
166,-293.965
167,-338.908
168,-255.48399999999998
169,-279.137
170,-224.404
171,-204.38199999999998
172,-183.744
173,-213.992
174,-309.507
175,-619.93
176,-409.447
177,-344.859
178,-294.427
179,-354.472
180,-487.30199999999996
181,-384.545
182,-439.257
183,-202.24699999999999
184,-309.236
185,-273.863
186,-378.96
187,-254.91199999999998
188,-420.044
189,-309.365
190,-324.349
191,-271.448
192,-234.935
193,-271.157
194,-274.034
195,-411.658
196,-198.761
197,-274.08299999999997
198,-354.235
199,-334.486
200,-265.067
201,-209.31699999999998
202,-186.144
203,-330.20000000000005
204,-405.77
205,-294.17600000000004
206,-256.827
207,-279.212
208,-340.147
209,-259.019
