episode,total_return
1,-119.39600000000002
2,95.55299999999998
3,-247.28900000000002
4,62.02599999999998
5,-163.20000000000002
6,-632.134
7,-595.265
8,-206.126
9,-73.231
10,-198.62400000000002
11,-152.645
12,-517.353
13,-323.752
14,-295.205
15,-734.23
16,-265.439
17,-326.41499999999996
18,-1107.856
19,-982.881
20,-218.84600000000003
21,-175.098
22,-275.741
23,-853.081
24,-307.46
25,-311.488
26,-444.832
27,-629.525
28,-335.442
29,-317.011
30,-245.66100000000003
31,-176.491
32,-250.79
33,-596.819
34,-1079.323
35,-959.467
36,-1128.958
37,-546.863
38,-1180.217
39,-451.801
40,-1313.079
41,-1088.616
42,-920.348
43,-1297.583
44,-1040.703
45,-949.413
46,-804.17
47,-1004.9680000000001
48,-542.328
49,-703.977
50,-120.50700000000002
51,-485.99
52,-340.757
53,-498.993
54,-459.745
55,-492.81
56,-371.165
57,-356.22299999999996
58,-575.053
59,-309.82399999999996
60,-356.742
61,-195.505
62,-390.082
63,-23.592999999999993
64,-132.19799999999998
65,-187.33100000000002
66,-93.686
67,-225.37699999999998
68,-162.41900000000004
69,-279.042
70,-156.523
71,-337.434
72,-93.888
73,-56.316999999999986
74,-185.61299999999997
75,-334.573
76,-78.193
77,-78.20400000000002
78,-165.756
79,-109.78399999999999
80,-128.769
81,-63.078000000000024
82,-112.187
83,-33.844
84,-36.379999999999995
85,-130.56
86,-102.643
87,-153.789
88,-220.236
89,-49.203999999999986
90,-198.70299999999995
91,-39.874
92,-151.39499999999998
93,-175.81199999999998
94,-109.25200000000001
95,-105.09400000000002
96,-154.41
97,-303.999
98,-184.803
99,-39.85900000000001
100,-153.365
101,-79.01699999999998
102,-79.925
103,-324.50299999999993
104,-148.979
105,-48.715
106,-93.87900000000002
107,-78.931
108,-189.154
109,-79.98499999999999
110,-10.58399999999999
111,-121.158
112,-120.948
113,-130.932
114,-94.00300000000001
115,-123.887
116,-49.55800000000001
117,-24.751999999999992
118,-124.23100000000001
119,-143.955
120,-20.324000000000005
121,-71.227
122,31.286
123,-57.42999999999999
124,-25.160000000000004
125,-138.64700000000002
126,-93.88899999999998
127,-199.022
128,-2.0530000000000177
129,69.74799999999999
130,-19.771000000000008
131,-94.25699999999999
132,72.441
133,-124.69899999999998
134,46.20699999999998
135,54.04900000000001
136,26.314999999999984
137,-167.609
138,-129.503
139,5.003000000000011
140,52.73100000000001
141,-154.665
142,8.477999999999987
143,-45.74200000000001
144,-85.761
145,-83.912
146,-85.98700000000001
147,-53.329999999999984
148,-124.11299999999999
149,-65.97099999999999
150,-3.5279999999999925
151,5.222999999999991
152,-33.42499999999999
153,109.819
154,-159.354
155,-4.697000000000018
156,-204.786
157,-130.282
158,-108.123
159,26.032
160,-155.133
161,-93.35199999999999
162,-154.834
163,-296.53999999999996
164,-125.82299999999998
165,112.964
