episode,total_return
1,-209.468
2,-39.24899999999998
3,-262.51099999999997
4,20.351999999999997
5,-98.483
6,-239.406
7,3.056999999999981
8,-319.699
9,-392.31600000000003
10,-295.48699999999997
11,-434.384
12,75.96299999999998
13,-235.616
14,-97.65700000000002
15,-281.94800000000004
16,-799.188
17,-69.986
18,-648.674
19,-609.446
20,-576.84
21,-1019.472
22,-448.97799999999995
23,-435.285
24,-241.31099999999998
25,-670.124
26,-369.649
27,-860.488
28,-584.96
29,-1451.595
30,-1039.165
31,-1243.805
32,-431.421
33,-371.989
34,-1228.01
35,-745.0260000000001
36,-1098.464
37,-710.973
38,-1245.604
39,-1163.184
40,-801.775
41,-740.961
42,-1075.892
43,-1208.049
44,-1088.54
45,-969.187
46,-1419.3509999999999
47,-959.405
48,-1125.585
49,-803.247
50,-989.005
51,-1172.06
52,-964.725
53,-1656.959
54,-1299.821
55,-939.645
56,-1134.277
57,-429.398
58,-689.165
59,-1039.366
60,-1173.387
61,-1361.519
62,-976.884
63,-405.136
64,-303.84799999999996
65,-469.496
66,-319.388
67,-633.106
68,-701.96
69,-280.28900000000004
70,-159.922
71,-46.43500000000001
72,-315.355
73,-676.927
74,-354.894
75,-385.65500000000003
76,-189.96800000000002
77,-145.79
78,-290.431
79,-713.859
80,-157.10299999999998
81,-16.06000000000001
82,-459.775
83,-78.567
84,-511.068
85,-224.607
86,-1004.386
87,-54.266999999999996
88,-149.97000000000003
89,-182.17499999999998
90,-80.45600000000002
91,90.8
92,-93.30200000000002
93,-214.367
94,-174.37300000000002
95,-99.21
96,-190.165
97,-124.468
98,-139.53000000000003
99,-129.93599999999998
100,-168.99900000000002
101,-168.80200000000002
102,-264.385
103,-18.473
104,-91.02000000000001
105,-303.673
106,-136.462
107,-229.07600000000002
108,-149.324
109,-198.824
110,-164.895
111,-198.494
112,-92.169
113,-93.173
114,-219.916
115,-108.542
116,-190.562
117,-168.701
118,-138.82500000000005
119,-39.523
120,-205.152
