update,loss,mean_q
0,630.474365234375,1.5761606693267822
200,362.87139892578125,1.715322494506836
400,249.3297119140625,2.3708949089050293
600,284.9117431640625,2.1745097637176514
800,348.21929931640625,1.807650089263916
1000,386.89910888671875,1.5683729648590088
1200,465.22039794921875,1.4598350524902344
1400,159.17630004882812,-0.37689292430877686
1600,294.87017822265625,-2.628679037094116
1800,605.5642700195312,-5.367974758148193
2000,385.01959228515625,-6.65169095993042
2200,102.61634826660156,-6.989060878753662
2400,886.8670654296875,-7.896760940551758
2600,207.25192260742188,-8.55846118927002
2800,387.8495178222656,-12.839542388916016
3000,333.8850402832031,-12.955873489379883
3200,230.87911987304688,-14.713171005249023
3400,229.79434204101562,-15.972978591918945
3600,294.2233581542969,-16.580747604370117
3800,288.8966369628906,-16.20267677307129
4000,107.77546691894531,-18.382526397705078
4200,295.43255615234375,-18.557310104370117
4400,188.3686981201172,-20.639039993286133
4600,230.80213928222656,-21.130001068115234
4800,162.31227111816406,-23.3792667388916
5000,171.80392456054688,-20.938932418823242
5200,352.12384033203125,-22.541858673095703
5400,148.47593688964844,-24.620071411132812
5600,515.392333984375,-24.614744186401367
5800,267.3985900878906,-28.512767791748047
6000,182.6212615966797,-31.38740348815918
6200,150.35166931152344,-32.44663619995117
6400,259.4690856933594,-33.26323699951172
6600,196.1017303466797,-34.150978088378906
6800,262.15777587890625,-34.761749267578125
7000,273.7303466796875,-37.31121826171875
7200,161.1079864501953,-37.83148193359375
7400,142.91064453125,-41.87566375732422
7600,170.271728515625,-43.25713348388672
7800,153.16073608398438,-47.08350372314453
8000,179.1083984375,-48.87158966064453
8200,260.7430114746094,-50.809776306152344
8400,225.52780151367188,-48.155147552490234
8600,200.75160217285156,-47.57842254638672
8800,178.2813720703125,-51.2056884765625
9000,141.90725708007812,-50.28504180908203
9200,156.30332946777344,-51.467227935791016
9400,153.13563537597656,-55.74965286254883
9600,152.65135192871094,-59.88528823852539
9800,137.31895446777344,-60.24501419067383
10000,221.0836181640625,-61.001522064208984
10200,159.48753356933594,-63.502220153808594
10400,103.92245483398438,-66.24237060546875
10600,163.44012451171875,-66.29682159423828
10800,163.37490844726562,-68.66450500488281
11000,247.48670959472656,-73.49870300292969
11200,121.19181823730469,-70.9697494506836
11400,117.38233947753906,-74.07604217529297
11600,156.54446411132812,-77.68285369873047
11800,189.93057250976562,-76.40936279296875
12000,136.39309692382812,-78.87054443359375
12200,168.41978454589844,-82.28584289550781
12400,88.82424926757812,-80.2186279296875
12600,116.13280487060547,-78.97232818603516
12800,89.60161590576172,-80.97309112548828
13000,117.31809997558594,-82.76809692382812
13200,125.03282165527344,-84.03710174560547
13400,86.29051208496094,-86.12373352050781
13600,158.17140197753906,-87.27871704101562
13800,132.26710510253906,-87.92820739746094
14000,222.14291381835938,-87.37407684326172
14200,94.05567932128906,-91.75350952148438
14400,149.47569274902344,-90.95518493652344
14600,116.6813735961914,-94.42522430419922
14800,106.65396118164062,-96.8206787109375
15000,107.07070922851562,-99.81817626953125
15200,65.85910034179688,-102.26447296142578
15400,164.77284240722656,-103.67639923095703
15600,98.79550170898438,-108.37163543701172
15800,167.9891357421875,-110.19654083251953
16000,202.13058471679688,-113.53374481201172
16200,113.50341796875,-116.54208374023438
16400,140.045166015625,-120.06001281738281
16600,148.4609375,-124.12770080566406
16800,106.24655151367188,-127.63775634765625
17000,100.4206314086914,-128.32730102539062
17200,192.0133056640625,-128.70240783691406
17400,128.66624450683594,-128.71343994140625
17600,113.76546478271484,-132.98660278320312
17800,107.128662109375,-134.31411743164062
18000,87.59054565429688,-136.5188446044922
18200,107.36309814453125,-136.44850158691406
18400,62.649696350097656,-138.12229919433594
18600,181.0938262939453,-142.762451171875
18800,85.85310363769531,-141.78903198242188
19000,98.44425964355469,-146.55517578125
19200,51.70917510986328,-148.9383087158203
19400,70.35770416259766,-151.8092041015625
19600,94.434814453125,-155.37257385253906
19800,84.00176239013672,-160.18263244628906
