step,episode,episode_return
500,0,217.21500000000037
1000,1,386.5960000000143
1500,2,456.8250000000206
2000,3,663.0890000000218
2500,4,444.05100000002165
3000,5,579.0560000000178
3500,6,393.6220000000099
4000,7,725.4440000000246
4500,8,303.86900000002237
5000,9,869.1730000000272
5500,10,310.96700000000607
6000,11,982.9650000000274
6500,12,658.9720000000215
7000,13,869.6430000000292
7500,14,642.1600000000252
8000,15,883.2670000000278
8500,16,939.4600000000271
9000,17,701.0020000000272
9500,18,1047.029000000028
10000,19,934.629000000028
10500,20,1077.8480000000277
11000,21,895.0490000000228
11500,22,1089.3290000000275
12000,23,1069.0240000000288
12500,24,866.0190000000257
13000,25,1127.502000000026
13500,26,1096.3710000000312
14000,27,1265.3370000000305
14500,28,988.4610000000285
15000,29,848.7200000000236
15500,30,925.6060000000301
16000,31,1077.7680000000246
16500,32,852.8360000000278
17000,33,923.7700000000302
17500,34,294.58900000002507
18000,35,120.58000000001907
18500,36,556.845000000022
18924,37,-133.4929999999889
19424,38,166.82700000002512
19924,39,-530.6639999999866
20424,40,-158.11599999998737
20924,41,-356.8569999999977
21424,42,-207.18799999997617
21924,43,-128.2779999999923
22364,44,-691.8959999999927
22864,45,-209.08799999998365
23364,46,215.67399999999847
23864,47,-390.4589999999896
24364,48,-71.51899999999665
24864,49,-259.6629999999875
25364,50,-142.5369999999825
25778,51,-289.5119999999925
26278,52,-792.5499999999906
26527,53,-190.14599999999552
27015,54,-736.3619999999939
27356,55,-108.68999999998684
27856,56,389.95800000002987
28356,57,-97.30000000000578
28856,58,674.1720000000334
29313,59,-281.53899999998987
29813,60,-92.19599999999052
30209,61,84.49300000002103
30709,62,-544.5569999999888
31209,63,41.18900000001122
31709,64,230.5640000000193
32209,65,348.7530000000242
32709,66,-67.90499999998038
33209,67,-522.3439999999858
33709,68,340.9500000000199
34209,69,-311.76599999998695
34709,70,-216.4659999999811
35209,71,-407.092999999984
35709,72,-71.70999999998573
36209,73,-148.06799999998918
36516,74,-14.098999999989871
36859,75,-416.9479999999954
37286,76,300.0670000000158
37786,77,-76.19099999999658
38286,78,714.2230000000204
38786,79,-214.2979999999954
39273,80,-444.1329999999903
39773,81,-156.87199999998052
