step,episode,episode_return
500,0,170.44800000000438
1000,1,457.1000000000303
1500,2,306.4390000000125
2000,3,181.46600000000262
2500,4,555.0620000000295
3000,5,479.46100000002497
3500,6,188.24599999999467
4000,7,249.15100000000308
4500,8,177.1729999999983
5000,9,422.30700000001093
5500,10,436.1930000000208
6000,11,627.6410000000333
6500,12,83.5659999999965
7000,13,449.3480000000213
7500,14,3.9990000000053545
8000,15,385.4840000000255
8500,16,363.0590000000176
9000,17,349.7670000000229
9500,18,92.05299999999846
10000,19,161.91600000000918
10500,20,480.2210000000172
11000,21,390.99900000001963
11500,22,385.99900000001617
12000,23,478.34500000003175
12500,24,482.0300000000237
13000,25,-2.051999999994848
13500,26,131.31599999999662
14000,27,22.641999999993306
14500,28,-189.41000000000065
15000,29,177.14100000000516
15500,30,51.442000000002245
16000,31,-82.95400000000497
16500,32,210.72999999999985
17000,33,242.02600000000166
17500,34,-143.98600000000113
18000,35,95.91499999999547
18500,36,-362.0789999999982
19000,37,-568.5499999999787
19500,38,-958.4149999999654
20000,39,-496.9939999999881
20500,40,-843.4459999999652
21000,41,-822.9469999999642
21500,42,-671.2939999999691
22000,43,-1104.4549999999592
22500,44,-825.8669999999695
23000,45,-741.5469999999731
23500,46,-820.5469999999743
24000,47,-1111.6789999999644
24500,48,-800.6479999999611
25000,49,-1246.7689999999568
25500,50,-928.7989999999785
26000,51,-972.7529999999653
26500,52,-742.6559999999673
27000,53,-816.9899999999823
27500,54,-1179.9009999999662
28000,55,-1122.7029999999647
28500,56,-874.1189999999592
29000,57,-1314.4079999999751
29500,58,-1221.6579999999565
30000,59,-1067.7059999999617
30500,60,-1035.674999999961
31000,61,-982.3669999999668
31500,62,-1170.2799999999606
32000,63,-1161.7079999999664
32500,64,-1165.2529999999604
33000,65,-1153.5689999999663
33500,66,-1160.2819999999656
34000,67,-901.8239999999707
34500,68,-819.6479999999749
35000,69,-940.0119999999649
35500,70,-843.4529999999612
36000,71,-1192.081999999963
36500,72,-1055.707999999968
37000,73,-989.736999999968
37500,74,-1049.301999999964
38000,75,-1218.6289999999633
38500,76,-1024.2819999999672
39000,77,-1264.575999999967
39500,78,-1285.7159999999637
40000,79,-1299.633999999958
