step,episode,episode_return
500,0,434.35200000002413
1000,1,181.09800000001005
1500,2,538.2960000000224
2000,3,426.85000000002276
2500,4,464.7800000000188
3000,5,167.73500000000018
3500,6,647.6770000000212
4000,7,386.6700000000173
4500,8,709.2220000000237
5000,9,672.2920000000273
5500,10,587.9390000000246
6000,11,406.3840000000095
6500,12,1037.270000000027
7000,13,836.4140000000214
7500,14,998.8740000000296
8000,15,313.4730000000227
8500,16,879.9190000000292
9000,17,886.5430000000281
9500,18,816.0200000000259
10000,19,1018.0470000000284
10500,20,1023.6740000000293
11000,21,1090.0990000000286
11500,22,769.3100000000243
12000,23,1240.8070000000303
12500,24,1159.7040000000275
13000,25,977.0830000000273
13500,26,528.8730000000197
14000,27,916.3590000000239
14500,28,1326.2980000000332
15000,29,1181.2640000000301
15500,30,940.055000000033
16000,31,689.3830000000256
16500,32,1130.5520000000274
17000,33,474.4700000000249
17500,34,669.7950000000343
18000,35,571.6380000000293
18405,36,-81.24299999998891
18905,37,227.4910000000346
19405,38,477.58800000002816
19905,39,-280.1659999999957
20405,40,156.78700000003616
20905,41,-342.68499999999005
21098,42,80.18300000000545
21598,43,-447.6949999999794
22098,44,197.7780000000071
22598,45,53.07400000003366
23098,46,-159.649999999986
23598,47,365.7080000000252
24098,48,190.25700000002658
24472,49,-293.32499999999465
24972,50,-285.4759999999935
25472,51,382.93000000003053
25972,52,-626.0229999999862
26472,53,-132.76599999998237
26972,54,-349.47799999998665
27472,55,769.8100000000231
27824,56,246.51900000001172
28324,57,234.5160000000085
28688,58,-30.818999999992755
29188,59,-454.7369999999873
29568,60,-255.9009999999904
29901,61,-74.50599999999355
30185,62,88.34300000001122
30685,63,-615.0839999999912
31185,64,351.0410000000221
31685,65,183.3810000000292
32140,66,733.2720000000191
32640,67,547.0840000000256
33140,68,29.228000000020828
33299,69,71.52000000000461
33799,70,-74.74699999998778
34103,71,-285.7529999999973
34408,72,159.41200000001157
34746,73,-131.72899999999342
35246,74,48.7260000000133
35630,75,138.27000000001283
35972,76,451.21400000001506
36472,77,-153.78699999998977
36972,78,612.6140000000267
37258,79,134.73100000001284
37754,80,-350.769999999987
38162,81,-361.928999999995
38662,82,79.78400000002422
39162,83,-533.6339999999893
39628,84,137.33200000001614
