update,loss,mean_q
0,171.58697509765625,1.524545431137085
200,207.7404327392578,2.1821680068969727
400,153.1685028076172,4.0331220626831055
600,150.4163360595703,5.578800201416016
800,184.70791625976562,7.341367721557617
1000,274.52117919921875,9.992328643798828
1200,198.7773895263672,12.737142562866211
1400,103.66651153564453,13.52204418182373
1600,156.6161346435547,15.365818977355957
1800,305.31988525390625,17.59588050842285
2000,212.7566680908203,19.677793502807617
2200,78.26194763183594,24.1043701171875
2400,163.03201293945312,26.510498046875
2600,119.7933120727539,28.056501388549805
2800,237.314208984375,28.134428024291992
3000,121.77883911132812,30.497604370117188
3200,130.6019287109375,34.211204528808594
3400,124.92901611328125,37.655982971191406
3600,109.04163360595703,40.24480438232422
3800,125.45953369140625,42.007293701171875
4000,85.26583862304688,43.98607635498047
4200,135.46188354492188,47.00345993041992
4400,102.31986236572266,49.01852798461914
4600,123.38764953613281,54.00503921508789
4800,145.95037841796875,57.68022155761719
5000,134.44683837890625,63.66704559326172
5200,112.75788879394531,64.24504852294922
5400,110.65892028808594,69.48685455322266
5600,246.78271484375,73.72975158691406
5800,120.66169738769531,74.80644989013672
6000,183.3987274169922,78.0644760131836
6200,125.11581420898438,81.98001098632812
6400,184.5201873779297,85.28743743896484
6600,139.3131103515625,88.21818542480469
6800,228.0657958984375,88.99504089355469
7000,173.51483154296875,93.19818115234375
7200,110.6845703125,99.86377716064453
7400,215.87547302246094,104.12330627441406
7600,188.0593719482422,108.69920349121094
7800,175.79708862304688,109.66091918945312
8000,150.74404907226562,113.95741271972656
8200,322.00384521484375,115.69361114501953
8400,222.90762329101562,120.15925598144531
8600,231.15708923339844,120.83047485351562
8800,225.4722900390625,125.85670471191406
9000,227.11134338378906,127.41256713867188
9200,270.0351867675781,131.45541381835938
9400,188.45648193359375,137.13551330566406
9600,205.47637939453125,140.4944305419922
9800,289.83685302734375,143.1734619140625
10000,326.7947998046875,148.16419982910156
10200,151.7835693359375,153.4591827392578
10400,333.38226318359375,155.2755584716797
10600,258.30828857421875,163.0223388671875
10800,344.18804931640625,165.26422119140625
11000,494.07550048828125,170.12417602539062
11200,280.0330810546875,177.10435485839844
11400,334.21405029296875,181.06640625
11600,246.1812744140625,185.7976531982422
11800,278.9861145019531,190.33360290527344
12000,218.72080993652344,192.17965698242188
12200,230.3594970703125,191.3710479736328
12400,188.83004760742188,196.14720153808594
12600,415.70465087890625,198.73121643066406
12800,193.46678161621094,205.88250732421875
13000,419.5810546875,206.87249755859375
13200,338.488525390625,211.71502685546875
13400,232.89987182617188,219.07264709472656
13600,344.88751220703125,224.14402770996094
13800,735.9658203125,230.3935546875
14000,362.5506286621094,234.5255126953125
14200,349.17193603515625,240.8900604248047
14400,454.45550537109375,238.2552490234375
14600,852.429931640625,239.50892639160156
14800,368.9038391113281,242.7506866455078
15000,1329.9794921875,240.91319274902344
15200,246.14215087890625,247.98526000976562
15400,460.9174499511719,255.40086364746094
15600,503.3087158203125,261.88555908203125
15800,390.3504943847656,264.937255859375
16000,553.1932373046875,272.4124755859375
16200,530.0099487304688,277.005126953125
16400,430.98870849609375,276.5176086425781
16600,674.198974609375,283.78668212890625
16800,414.43011474609375,294.4344177246094
17000,353.24078369140625,297.624267578125
17200,488.02288818359375,300.7972412109375
17400,509.19281005859375,300.3883056640625
17600,289.73040771484375,301.9736328125
17800,396.4051513671875,304.03338623046875
18000,394.5061950683594,310.9605712890625
18200,275.8311767578125,321.0373840332031
18400,413.5931701660156,315.3438720703125
18600,722.8399658203125,326.4637451171875
18800,725.0737915039062,338.6708984375
19000,529.5516357421875,342.1214294433594
19200,486.29638671875,346.9568786621094
19400,739.8301391601562,350.9779357910156
19600,551.7893676757812,357.3879699707031
19800,414.77166748046875,359.63861083984375
