rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/episodes,time/fps,train/actor_loss,time/total_timesteps
-134.865361,9.284887313842773,10,721,0.001,205.5,4,79,-0.6124299168586731,822
-272.85178825,8.154962539672852,36,2721,0.001,352.75,8,78,-5.649660587310791,2822
-191.3323501666667,20.09270477294922,60,4721,0.001,401.8333333333333,12,79,-19.035499572753906,4822
-225.45214431249997,13.382607460021973,80,6721,0.001,426.375,16,84,-27.089181900024414,6822
-248.59254269999997,12.53482723236084,100,8721,0.001,441.1,20,87,-35.416358947753906,8822
-239.3005157916667,4.7835516929626465,120,10645,0.001,447.75,24,89,-43.552879333496094,10746
-241.46342714285714,7.0313591957092285,143,12645,0.001,455.2142857142857,28,88,-51.42635726928711,12746
-246.56379259374998,7.347456932067871,165,14645,0.001,460.8125,32,89,-60.775245666503906,14746
