episode,step,ep_return,eps,mean_loss
1,98,-697.9909999999999,0.9968966666666667,0.18043360944305148
2,166,-181.38099999999994,0.9947433333333333,0.1830746965110302
3,241,-408.4870000000001,0.9923683333333333,0.21485406339168547
4,349,-167.2649999999999,0.9889483333333333,0.891051276922226
5,404,-211.40800000000013,0.9872066666666667,0.6022321432828903
6,468,-510.56099999999986,0.9851800000000001,0.4311147123575211
7,547,-180.52399999999994,0.9826783333333333,0.42563361406326294
8,615,-197.21300000000005,0.980525,0.5461265888810157
9,677,-221.71200000000016,0.9785616666666667,0.5350034320354462
10,739,-359.901,0.9765983333333333,0.4831253156065941
11,821,-452.17200000000014,0.9740016666666667,0.4604831773042679
12,905,-44.85200000000016,0.9713416666666667,0.5356631934642792
13,974,-239.5640000000001,0.9691566666666667,0.6575692707300186
14,1063,110.88199999999983,0.9663383333333333,0.5075941252708435
15,1166,-569.4669999999999,0.9630766666666667,0.5394649201631546
16,1278,143.71099999999967,0.95953,0.6081870353221893
17,1364,25.371000000000038,0.9568066666666667,0.5303090170025826
18,1417,-245.097,0.9551283333333334,0.5224901694059372
19,1491,-72.64799999999988,0.952785,0.5261110150814057
20,1564,-611.362,0.9504733333333333,0.6090792697668076
21,1644,32.867000000000075,0.94794,0.5567472547292709
22,1716,-142.73399999999995,0.94566,0.5639935848116875
23,1804,35.62900000000003,0.9428733333333333,0.5940921074151992
24,1887,-216.77999999999997,0.940245,0.6004445993900299
25,1935,-300.45300000000003,0.938725,0.5918467992544174
26,2001,-189.56799999999998,0.936635,0.5092995381355285
27,2060,-828.831,0.9347666666666666,0.6237202161550521
28,2146,-107.05000000000011,0.9320433333333333,0.6848905164003373
29,2221,-162.06999999999994,0.9296683333333333,0.574678615629673
30,2276,-131.16299999999998,0.9279266666666667,0.6027760940790177
31,2356,14.297999999999888,0.9253933333333333,0.6399242675304413
32,2429,-4.2470000000000425,0.9230816666666667,0.6545284938812256
33,2506,-78.47000000000006,0.9206433333333334,0.6114841264486313
34,2575,37.696000000000055,0.9184583333333334,0.5295515838265419
35,2651,48.892999999999915,0.9160516666666667,0.5790435948967934
36,2710,-512.3860000000001,0.9141833333333333,0.6977582085132599
37,2773,-152.86800000000005,0.9121883333333334,0.6189758557081223
38,2878,-239.68899999999996,0.9088633333333334,0.6324444168806076
39,2928,-184.17500000000013,0.90728,0.6043537136912346
40,3016,-160.26499999999987,0.9044933333333334,0.5907466441392899
41,3079,-57.255000000000024,0.9024983333333334,0.6781537848711013
42,3139,-195.82899999999995,0.9005983333333334,0.6290772020816803
43,3210,-3.8829999999999245,0.89835,0.7266757440567017
44,3302,-142.12500000000006,0.8954366666666667,0.6712143501639366
45,3378,8.053000000000097,0.89303,0.658491684794426
46,3460,110.41199999999996,0.8904333333333333,0.647032373547554
47,3549,-101.249,0.887615,0.6360930955410004
48,3630,-57.74600000000003,0.88505,0.6555303180217743
49,3691,-380.55899999999997,0.8831183333333333,0.6558352708816528
50,3787,-299.8940000000002,0.8800783333333333,0.6695749115943909
51,3868,-47.00199999999998,0.8775133333333334,0.6341247636079789
52,3940,-219.233,0.8752333333333333,0.6994445130228997
53,4013,-56.458000000000084,0.8729216666666667,0.6611275568604469
54,4087,-48.113000000000085,0.8705783333333333,0.6432824975252152
55,4169,51.13199999999992,0.8679816666666667,0.663685970902443
56,4250,-373.891,0.8654166666666667,0.7018887624144554
57,4312,-397.588,0.8634533333333334,0.6883923190832139
58,4357,-138.693,0.8620283333333334,0.660401105582714
59,4408,-355.54500000000013,0.8604133333333334,0.6056126016378403
60,4456,-250.1400000000001,0.8588933333333333,0.6262838053703308
61,4550,41.436000000000035,0.8559166666666667,0.7658961457014084
62,4604,-369.953,0.8542066666666667,0.8026639437675476
63,4664,-198.19799999999992,0.8523066666666667,0.6613851118087769
64,4729,-79.14600000000002,0.8502483333333334,0.7352410039305687
65,4786,-397.378,0.8484433333333333,0.7185160064697266
66,4846,-164.56099999999998,0.8465433333333333,0.7536995142698288
67,4895,-128.65800000000007,0.8449916666666667,0.7143643206357956
68,4982,-224.149,0.8422366666666666,0.7249105313420295
69,5036,-216.1670000000001,0.8405266666666666,0.7783117565512657
70,5095,-152.146,0.8386583333333333,0.7229947650432587
71,5166,-108.41199999999999,0.83641,0.7831102102994919
72,5228,-262.00900000000007,0.8344466666666667,0.7602009707689286
73,5301,-133.39800000000008,0.8321350000000001,0.7133360350131989
74,5365,-319.3700000000001,0.8301083333333333,0.6979273474216461
75,5442,-222.67099999999994,0.82767,0.8579112166166305
76,5483,-68.41599999999998,0.8263716666666667,0.7942684236168861
77,5539,-64.42800000000001,0.8245983333333333,0.7567702084779739
78,5603,-128.565,0.8225716666666667,0.8000915056467056
79,5693,-146.8070000000001,0.8197216666666667,0.7750067621469497
80,5754,-203.39200000000005,0.81779,0.6956835544109344
81,5825,-212.37600000000006,0.8155416666666667,0.8036500990390778
82,5877,-217.42399999999992,0.813895,0.7227125608921051
83,5934,-5.838000000000051,0.81209,0.655516505241394
84,5992,-187.84100000000007,0.8102533333333333,0.83516346514225
85,6050,-488.40299999999996,0.8084166666666667,0.6957608300447464
86,6115,-242.10000000000002,0.8063583333333333,0.8085658431053162
87,6192,-569.5369999999999,0.80392,0.8499602383375168
88,6263,-654.2579999999999,0.8016716666666667,0.7866666638851165
89,6345,-347.52800000000013,0.799075,0.8247933691740036
90,6417,-241.48099999999994,0.796795,0.8528381341695785
91,6476,-372.07,0.7949266666666667,0.744708298444748
92,6551,73.33900000000006,0.7925516666666667,0.8636983096599579
93,6589,-63.04199999999997,0.7913483333333333,0.7619906485080719
94,6663,-112.10800000000013,0.789005,0.8616415923833847
95,6724,-298.01,0.7870733333333333,0.6851423183083534
96,6788,-70.77599999999993,0.7850466666666667,0.8084306490421295
97,6864,-5.910999999999987,0.78264,0.8104907846450806
98,6935,-200.2000000000001,0.7803916666666667,0.9246060517430306
99,7004,-819.052,0.7782066666666667,0.9319671350717544
100,7064,-272.87700000000007,0.7763066666666667,0.9771507054567337
101,7160,-242.40699999999995,0.7732666666666667,0.9009102761745453
102,7222,-257.703,0.7713033333333333,0.7963002943992614
103,7300,-295.895,0.7688333333333334,0.8044170984625816
104,7365,-327.555,0.766775,0.7916611659526825
105,7421,-9.744999999999976,0.7650016666666667,0.8849772220849991
