episode,step,ep_return,eps,mean_loss
1,98,-697.9909999999999,0.9968966666666667,0.22287485684667316
2,170,-115.603,0.9946166666666667,0.20727799698710442
3,220,-373.95199999999994,0.9930333333333333,0.24232603818178178
4,325,-12.118999999999843,0.9897083333333333,0.45743861854076384
5,373,-464.686,0.9881883333333333,0.4584347397089005
6,433,-517.454,0.9862883333333333,0.3644969347119331
7,503,40.373999999999995,0.9840716666666667,0.35706320106983186
8,591,-152.58199999999994,0.981285,0.3617194405198097
9,678,-422.66999999999996,0.97853,0.5871998172998428
10,751,106.24000000000008,0.9762183333333333,0.4758685064315796
11,841,-273.59700000000004,0.9733683333333334,0.4407405591011047
12,919,67.72099999999985,0.9708983333333333,0.5684578382968902
13,982,-55.63300000000008,0.9689033333333333,0.5744863718748092
14,1060,3.3749999999999574,0.9664333333333334,0.4986013022065163
15,1136,-368.97700000000003,0.9640266666666667,0.4945299193263054
16,1224,-643.847,0.96124,0.6063332790136338
17,1301,-313.70400000000006,0.9588016666666667,0.5395378291606903
18,1377,-3.1110000000000184,0.956395,0.5187529116868973
19,1465,127.31799999999998,0.9536083333333334,0.5269482159614562
20,1532,-218.36200000000005,0.9514866666666667,0.648590379357338
21,1631,-214.04500000000007,0.9483516666666667,0.5791179943084717
22,1683,-439.285,0.946705,0.5694971436262131
23,1777,97.05900000000003,0.9437283333333333,0.5250981825590134
24,1859,-199.34300000000007,0.9411316666666667,0.6397652381658554
25,1913,-176.553,0.9394216666666667,0.6097660487890244
26,1985,-985.222,0.9371416666666667,0.5805655539035797
27,2042,-655.4440000000002,0.9353366666666667,0.6310191220045089
28,2161,321.84699999999964,0.9315683333333333,0.7006780576705932
29,2260,-228.58700000000013,0.9284333333333333,0.6161328905820846
30,2346,-462.31000000000006,0.92571,0.6037027961015702
31,2414,-101.00400000000005,0.9235566666666667,0.6677666431665421
32,2506,8.745000000000147,0.9206433333333334,0.6688069552183151
33,2592,-41.07599999999999,0.91792,0.6598262286186218
34,2674,-281.629,0.9153233333333334,0.6748838949203492
35,2768,34.75700000000006,0.9123466666666666,0.7705413311719894
36,2856,-796.527,0.90956,0.6404565614461899
37,2943,-333.3069999999999,0.906805,0.6660873943567276
38,3012,-273.37500000000006,0.90462,0.6923420512676239
39,3066,-483.6670000000001,0.90291,0.7004463058710099
40,3149,25.502999999999858,0.9002816666666666,0.6539431774616241
41,3221,-407.54499999999996,0.8980016666666667,0.6674798130989075
42,3294,-223.0220000000001,0.89569,0.6645536887645721
43,3378,-57.44199999999992,0.89303,0.7176929271221161
44,3450,-269.8460000000001,0.89075,0.6949357634782791
45,3537,-396.28100000000006,0.887995,0.6686259388923645
46,3616,-3.8599999999998715,0.8854933333333334,0.7404216414690018
47,3695,2.5139999999998963,0.8829916666666666,0.6768619430065155
48,3784,-153.0010000000001,0.8801733333333334,0.698342331647873
49,3840,-145.086,0.8784,0.7052682957053185
50,3924,-82.26200000000003,0.87574,0.6948828333616257
51,4001,-56.495999999999945,0.8733016666666666,0.7080549895763397
52,4056,-385.65799999999996,0.87156,0.6837115740776062
53,4118,-236.99400000000003,0.8695966666666667,0.7175954073667526
54,4182,-35.19800000000008,0.86757,0.6768665736913682
55,4297,69.3499999999996,0.8639283333333334,0.686002105474472
56,4369,-100.60299999999995,0.8616483333333333,0.6281209313869476
57,4418,-270.49699999999996,0.8600966666666667,0.6651477265357971
58,4481,-25.944999999999908,0.8581016666666667,0.6671094787120819
59,4547,-302.09399999999994,0.8560116666666666,0.7594296193122864
60,4610,-130.66200000000003,0.8540166666666666,0.7641106307506561
61,4682,-423.75199999999995,0.8517366666666667,0.6757755571603775
62,4736,-154.47899999999998,0.8500266666666667,0.6496171343326569
63,4789,-96.79300000000006,0.8483483333333334,0.7121022427082062
64,4855,-221.78700000000006,0.8462583333333333,0.782382242679596
65,4914,-333.828,0.84439,0.7576690250635147
66,4966,-231.40499999999992,0.8427433333333334,0.7377292758226395
67,5025,-514.64,0.840875,0.7348536264896393
68,5105,-438.9590000000002,0.8383416666666667,0.7350233924388886
69,5161,-131.69000000000005,0.8365683333333334,0.8575079882144928
70,5233,-17.5390000000001,0.8342883333333333,0.840526008605957
71,5294,-236.46999999999997,0.8323566666666666,0.7326177179813385
72,5369,-175.52000000000004,0.8299816666666666,0.7339928030967713
73,5446,-657.781,0.8275433333333333,0.8697635245323181
74,5527,-343.015,0.8249783333333334,0.7922128885984421
75,5596,-224.31299999999993,0.8227933333333334,0.7759220308065414
76,5648,-101.221,0.8211466666666667,0.7434833949804306
77,5712,-273.307,0.81912,0.8115908855199814
78,5769,-209.06800000000004,0.817315,0.8178626799583435
79,5840,-38.627999999999986,0.8150666666666667,0.8337940073013306
80,5896,-593.0219999999999,0.8132933333333333,0.7471017765998841
81,5943,-264.495,0.811805,0.7947246086597443
82,6000,-302.877,0.81,0.7634810185432435
83,6061,-206.98999999999998,0.8080683333333334,0.7725540959835052
84,6115,-370.20000000000005,0.8063583333333333,0.8349585103988647
85,6175,-650.2959999999999,0.8044583333333333,0.914580671787262
86,6252,-93.35099999999989,0.80202,0.8080231094360352
87,6328,-472.544,0.7996133333333333,0.8300051259994506
88,6365,-123.08699999999999,0.7984416666666667,0.8133781826496125
