episode,step,ep_return,eps,mean_loss
1,98,-697.9909999999999,0.9968966666666667,0.3101931708199637
2,170,-115.603,0.9946166666666667,0.38548212945461274
3,218,-255.55000000000007,0.9930966666666666,0.31476177513599396
4,292,-269.297,0.9907533333333334,0.29500588685274126
5,358,-708.9379999999999,0.9886633333333333,0.7244261127710342
6,423,-593.1310000000001,0.986605,0.4874833315610886
7,489,25.407999999999987,0.984515,0.4182086324691772
8,563,-116.61100000000006,0.9821716666666667,0.3984368360042572
9,649,-193.12599999999983,0.9794483333333334,0.9212432312965393
10,722,-586.9430000000001,0.9771366666666667,0.5660875123739243
11,786,-182.054,0.97511,0.5147912406921387
12,857,-233.89900000000006,0.9728616666666666,0.5113582402467728
13,922,-146.791,0.9708033333333334,0.6442039561271667
14,1005,-514.404,0.968175,0.5793379443883896
15,1092,-68.05500000000012,0.96542,0.5056220674514771
16,1197,2.702000000000055,0.962095,0.4882685452699661
17,1269,-71.68100000000007,0.959815,0.6337324619293213
18,1344,-836.188,0.95744,0.5648071426153183
19,1415,-12.459999999999908,0.9551916666666667,0.555114284157753
20,1474,-11.420999999999964,0.9533233333333333,0.5197094285488129
21,1544,-303.89200000000005,0.9511066666666667,0.7798213630914688
22,1610,-326.57300000000004,0.9490166666666666,0.6426025569438935
23,1701,-16.681999999999952,0.946135,0.6167410469055176
24,1789,-209.18099999999998,0.9433483333333333,0.5413286262750625
25,1847,-424.17199999999997,0.9415116666666666,0.7594211149215698
26,1921,-99.42500000000001,0.9391683333333334,0.6297801434993744
27,1971,-640.4449999999999,0.937585,0.6174945664405823
28,2085,-319.18399999999997,0.933975,0.5485735356807708
29,2179,-325.1750000000002,0.9309983333333334,0.7076201045513153
30,2257,-449.70300000000015,0.9285283333333333,0.6501787459850311
31,2340,-299.7070000000001,0.9259,0.6392376339435577
32,2446,-242.76200000000009,0.9225433333333334,0.691475555896759
33,2513,-381.3960000000001,0.9204216666666667,0.6128402906656265
34,2601,39.32599999999995,0.917635,0.5685899353027344
35,2661,-70.69299999999998,0.915735,0.5717430549860001
36,2721,-706.08,0.913835,0.6543214499950409
37,2793,-100.71599999999998,0.911555,0.6936027818918228
38,2878,-76.51499999999992,0.9088633333333334,0.6167578440904617
39,2939,-318.06299999999993,0.9069316666666667,0.6223641186952591
40,3018,-311.928,0.9044300000000001,0.6528264772891998
41,3106,-277.4029999999999,0.9016433333333334,0.7204253941774368
42,3166,-138.323,0.8997433333333333,0.6123901945352554
43,3235,-80.42699999999994,0.8975583333333333,0.6392220067977905
44,3297,-211.409,0.895595,0.6115491586923599
45,3388,81.83999999999999,0.8927133333333334,0.6899476265907287
46,3459,24.39300000000003,0.8904650000000001,0.6225497883558273
47,3531,-191.98600000000005,0.888185,0.6263252198696136
48,3606,-224.84100000000007,0.88581,0.6345855647325516
49,3672,-31.385999999999925,0.8837200000000001,0.7282780885696412
50,3762,-147.02399999999994,0.88087,0.6813079047203064
51,3846,-266.41299999999995,0.87821,0.6640463620424271
52,3917,-165.15999999999997,0.8759616666666666,0.6885609096288681
53,3986,-12.72100000000006,0.8737766666666666,0.6709316962957382
54,4077,24.626000000000005,0.870895,0.6570352774858474
55,4163,-343.0769999999999,0.8681716666666667,0.615289353132248
56,4242,-208.20899999999995,0.8656699999999999,0.7157049161195755
57,4303,-577.2679999999999,0.8637383333333333,0.671605703830719
58,4360,-190.80299999999994,0.8619333333333333,0.6832065945863723
59,4410,-389.256,0.86035,0.6687753635644913
60,4449,-98.59299999999996,0.8591150000000001,0.6300630980730056
61,4521,-91.82000000000015,0.856835,0.7077196031808853
62,4582,-665.984,0.8549033333333333,0.7064807915687561
63,4642,-129.48700000000014,0.8530033333333333,0.6861351096630096
64,4694,-244.74999999999997,0.8513566666666667,0.6551281142234803
65,4736,-59.26800000000006,0.8500266666666667,0.7416885244846344
66,4795,-463.97999999999996,0.8481583333333333,0.6628504663705825
67,4864,-329.64,0.8459733333333334,0.7563343000411987
68,4950,-976.1769999999999,0.84325,0.708926932811737
69,5001,-274.374,0.841635,0.7027278453111648
70,5075,-75.37199999999996,0.8392916666666667,0.6274890947341919
71,5155,-367.99799999999993,0.8367583333333333,0.774049261212349
72,5228,-239.73299999999998,0.8344466666666667,0.7475515151023865
73,5290,-214.90800000000002,0.8324833333333334,0.7746508115530014
