episode,step,ep_return,eps,mean_loss
1,98,-697.9909999999999,0.9968966666666667,0.26032653067793166
2,170,-115.603,0.9946166666666667,0.23609419867396356
3,220,-373.95199999999994,0.9930333333333333,0.24976431220769882
4,326,-58.38900000000001,0.9896766666666666,0.4661791184544563
5,375,-53.64300000000002,0.988125,0.4816406136751175
6,438,-248.9320000000001,0.98613,0.4168817546963692
7,515,-382.7979999999999,0.9836916666666666,0.41726118355989456
8,609,-694.6360000000001,0.980715,0.46101433753967286
9,705,-171.11799999999988,0.977675,0.5139204138517379
10,791,-220.075,0.9749516666666667,0.4348787382245064
11,851,-421.97,0.9730516666666666,0.4377556785941124
12,948,45.34500000000017,0.96998,0.7187528204917908
13,1026,-550.6999999999999,0.96751,0.5415298253297806
14,1100,-177.08300000000006,0.9651666666666666,0.5301141881942749
15,1176,-218.65300000000013,0.9627600000000001,0.5097031080722809
16,1282,81.72799999999998,0.9594033333333334,0.6012350803613663
17,1356,-381.64199999999994,0.95706,0.5227222347259521
18,1421,-152.23000000000008,0.9550016666666666,0.553357082605362
19,1491,-192.31299999999993,0.952785,0.49627873837947845
20,1566,-201.4490000000001,0.95041,0.6401490849256516
21,1631,-109.05700000000003,0.9483516666666667,0.5446857702732086
22,1720,-490.35100000000017,0.9455333333333333,0.5279035294055938
23,1784,3.568000000000012,0.9435066666666667,0.5092687052488327
24,1857,-28.101000000000127,0.941195,0.662683612704277
25,1910,-71.44800000000002,0.9395166666666667,0.5990627497434616
26,1963,-123.46500000000003,0.9378383333333333,0.5983995687961579
27,2029,-857.0519999999999,0.9357483333333333,0.54706492125988
28,2162,317.69700000000023,0.9315366666666667,0.7061579138040542
29,2248,-58.24600000000024,0.9288133333333334,0.6588450068235397
30,2312,-384.4039999999999,0.9267866666666666,0.5872625106573105
31,2397,-379.8620000000001,0.924095,0.6285443991422653
32,2483,-31.041000000000025,0.9213716666666667,0.6563042342662812
33,2551,13.253,0.9192183333333334,0.6241660445928574
34,2642,76.04899999999986,0.9163366666666667,0.5934580260515213
35,2701,-166.6380000000001,0.9144683333333333,0.6307955431938171
36,2748,-302.471,0.91298,0.7656702768802642
37,2835,-513.1529999999999,0.9102250000000001,0.638706197142601
38,2911,-37.029000000000146,0.9078183333333334,0.6450586920976639
39,2989,-238.811,0.9053483333333333,0.6177683186531067
40,3068,-5.123999999999967,0.9028466666666667,0.784967623949051
41,3134,-101.91900000000008,0.9007566666666666,0.672643375992775
42,3191,-47.224999999999994,0.8989516666666667,0.6626670682430267
43,3267,-158.30099999999993,0.896545,0.6712650614976883
44,3343,-301.9960000000001,0.8941383333333334,0.8446282941102982
45,3429,-83.69200000000005,0.8914150000000001,0.7410624116659165
46,3502,-247.02399999999992,0.8891033333333334,0.7164745557308198
47,3591,-507.0709999999997,0.886285,0.6816333961486817
48,3680,84.47900000000004,0.8834666666666666,0.7745097643136978
49,3740,-123.6729999999999,0.8815666666666667,0.7057972145080567
50,3823,-244.791,0.8789383333333334,0.7123012405633926
51,3922,-200.46200000000016,0.8758033333333334,0.72256209731102
52,3979,-150.92100000000008,0.8739983333333333,0.7184925419092179
53,4035,-334.65799999999996,0.872225,0.6966380500793456
54,4106,-267.70700000000005,0.8699766666666666,0.6844880574941635
55,4195,-150.13700000000006,0.8671583333333334,0.6949200278520584
56,4280,-35.973000000000184,0.8644666666666667,0.7682809072732926
57,4334,-224.41,0.8627566666666666,0.6872223871946335
58,4392,-214.45300000000003,0.86092,0.7093073487281799
59,4456,-558.929,0.8588933333333333,0.7373550146818161
60,4502,-195.019,0.8574366666666666,0.7285843878984452
61,4574,-27.842999999999968,0.8551566666666667,0.7247270405292511
62,4643,-672.408,0.8529716666666667,0.7955929189920425
63,4696,-421.822,0.8512933333333333,0.6477448731660843
64,4780,-474.139,0.8486333333333334,0.6642722779512406
65,4832,-161.84300000000002,0.8469866666666667,0.8125212067365646
66,4897,-532.0029999999999,0.8449283333333333,0.7709208261966706
67,4967,-110.92199999999994,0.8427116666666666,0.7473829907178878
68,5070,-382.549,0.83945,0.7278467679023742
69,5136,-539.1650000000001,0.83736,0.8177904152870178
70,5234,-161.78800000000007,0.8342566666666666,0.7747001308202743
71,5307,-177.93,0.831945,0.7703040599822998
72,5381,-445.2979999999999,0.8296016666666667,0.6424245601892471
73,5439,-65.33800000000008,0.8277650000000001,0.8586149984598159
74,5490,-415.33699999999993,0.82615,0.9031058812141418
75,5579,-361.883,0.8233316666666667,0.786418884396553
76,5629,-258.064,0.8217483333333333,0.7158077448606491
77,5694,-112.66899999999994,0.81969,0.781405761539936
78,5775,-478.9269999999999,0.817125,0.8436059463024139
79,5831,-167.894,0.8153516666666667,0.7225018620491028
80,5909,-116.46999999999997,0.8128816666666667,0.7574608471989631
81,5975,-81.98700000000002,0.8107916666666667,0.7711104935407639
82,6065,-243.96200000000016,0.8079416666666667,0.86574880361557
83,6124,-246.937,0.8060733333333333,0.8588963651657104
84,6192,-207.14700000000008,0.80392,0.8336678278446198
85,6252,-236.75100000000003,0.80202,0.8094406247138977
86,6321,-335.115,0.7998350000000001,0.9161691749095917
87,6402,-287.1770000000001,0.79727,0.8404942953586578
