episode,step,ep_return,eps,mean_loss
1,51,-223.56599999999997,0.998385,0.0
2,120,-30.22899999999997,0.9962,0.16394390612840654
3,206,-170.17900000000006,0.9934766666666667,0.29074187844991684
4,291,40.86299999999994,0.990785,0.26635844603180886
5,372,-483.918,0.98822,0.41077635049819944
6,443,2.664999999999921,0.9859716666666667,0.3181485405564308
7,498,-397.96799999999996,0.98423,0.3497170588374138
8,567,-802.0059999999999,0.9820450000000001,0.35284199863672255
9,637,-280.58299999999997,0.9798283333333333,0.6840299759805203
10,719,-118.89600000000006,0.9772316666666667,0.4724541491270065
11,807,-404.51700000000017,0.974445,0.42963681131601333
12,902,-793.7250000000003,0.9714366666666667,0.4772478199005127
13,960,-279.619,0.9696,0.57724689245224
14,1056,-118.84100000000001,0.96656,0.5291008335351944
15,1127,-314.461,0.9643116666666667,0.4866609472036362
16,1226,61.91300000000001,0.9611766666666667,0.606583291888237
17,1314,-34.466999999999985,0.95839,0.5431060102581978
18,1407,80.51800000000007,0.955445,0.5102009445428848
19,1470,-115.64699999999996,0.95345,0.5349177879095077
20,1529,-254.352,0.9515816666666667,0.5992590814828873
21,1598,-78.12500000000009,0.9493966666666667,0.5826426142454147
22,1650,-175.3429999999999,0.94775,0.5812930178642273
23,1736,-255.5879999999999,0.9450266666666667,0.5812782686948776
24,1796,-510.65600000000006,0.9431266666666667,0.5882496440410614
25,1860,-52.858000000000004,0.9411,0.612826271057129
26,1936,-272.781,0.9386933333333334,0.5613020876049996
27,1988,-225.832,0.9370466666666667,0.6324870604276657
28,2044,-236.30100000000004,0.9352733333333333,0.5659066641330719
29,2114,-746.6969999999999,0.9330566666666666,0.6550632441043853
30,2213,-105.735,0.9299216666666666,0.6396419072151184
31,2321,-645.624,0.9265016666666667,0.6226221066713333
32,2394,-287.5369999999999,0.9241900000000001,0.6314769166707993
33,2469,-64.14899999999997,0.921815,0.6847905772924423
34,2543,6.0179999999999865,0.9194716666666667,0.6609895408153534
35,2622,-426.59599999999995,0.91697,0.6679511567950249
36,2714,-136.4609999999999,0.9140566666666666,0.6509946030378342
37,2796,100.26100000000011,0.9114599999999999,0.6063148176670075
38,2856,-182.32800000000006,0.90956,0.6759486413002014
39,2923,-318.653,0.9074383333333333,0.6396722990274429
40,3005,67.425,0.9048416666666667,0.6141929021477699
41,3100,-601.525,0.9018333333333334,0.6875723293423652
42,3182,-247.08499999999995,0.8992366666666667,0.6643257170915604
43,3256,-114.493,0.8968933333333333,0.599193023443222
44,3331,-117.61200000000005,0.8945183333333333,0.7043371599912643
45,3415,-97.02899999999984,0.8918583333333333,0.6477709102630616
46,3516,-871.136,0.88866,0.6230156743526458
47,3614,-249.59500000000014,0.8855566666666667,0.7333522474765778
48,3714,-28.06900000000013,0.88239,0.6275347086787224
49,3789,-51.513000000000034,0.880015,0.6599256163835525
50,3873,106.33099999999993,0.877355,0.6796185421943665
51,3960,-193.24499999999998,0.8746,0.6611635732650757
52,4043,-158.52899999999994,0.8719716666666667,0.6163619631528854
53,4134,-437.23300000000006,0.86909,0.6156533780694008
54,4210,-312.129,0.8666833333333334,0.6471730294823647
55,4279,-221.026,0.8644983333333334,0.6043999594449997
56,4354,-1084.302,0.8621233333333334,0.6177674150466919
57,4429,-181.5020000000001,0.8597483333333333,0.6294058156013489
58,4487,73.14000000000001,0.8579116666666666,0.673879899084568
59,4540,-269.1970000000001,0.8562333333333334,0.7237490782141686
60,4599,-292.2430000000001,0.854365,0.7188398897647857
61,4652,-157.28700000000006,0.8526866666666667,0.6215068450570107
62,4723,-183.01399999999995,0.8504383333333333,0.6921549588441849
